year,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats
2010,168000,Diesel,Individual,Manual,First Owner,14.0,2498,112.0,7
2017,25000,Diesel,Individual,Manual,First Owner,21.5,1497,108.5,5
2007,218463,Petrol,Individual,Automatic,First Owner,12.9,1799,130.0,5
2015,173000,Diesel,Individual,Manual,First Owner,25.1,1498,98.6,5
2011,70000,Petrol,Individual,Manual,Second Owner,16.5,1172,65.0,5
2019,12584,Diesel,Dealer,Manual,First Owner,16.55,2498,105.0,6
2011,35000,Petrol,Individual,Manual,First Owner,18.0,995,62.0,5
2012,70000,Petrol,Individual,Manual,Second Owner,18.5,1197,85.8,5
2011,72000,Petrol,Individual,Manual,Second Owner,19.7,796,46.3,5
2016,58000,Diesel,Individual,Manual,First Owner,19.67,1582,126.2,5
2018,49000,Diesel,Individual,Automatic,First Owner,22.0,1582,126.2,5
2019,20000,Petrol,Dealer,Automatic,First Owner,22.37,2487,214.56,5
2017,24500,Diesel,Dealer,Manual,First Owner,25.8,1498,98.6,5
2009,110000,Petrol,Individual,Manual,First Owner,20.36,1197,78.9,5
2019,9500,Petrol,Individual,Manual,First Owner,18.16,1196,86.8,5
2017,17000,Petrol,Individual,Automatic,First Owner,9.5,3604,280.0,5
2014,25000,Petrol,Individual,Manual,First Owner,16.02,1373,93.7,7
2012,185000,Diesel,Individual,Manual,Second Owner,19.4,1405,70.0,5
2014,62200,Petrol,Dealer,Manual,First Owner,17.0,1197,80.0,5
2011,35000,Petrol,Individual,Manual,First Owner,16.36,1495,93.7,5
2011,70000,Diesel,Individual,Manual,Second Owner,22.9,1248,74.0,5
2010,180000,Petrol,Individual,Manual,Second Owner,19.0,998,67.1,5
2015,74000,Diesel,Individual,Manual,First Owner,19.67,1582,126.2,5
2015,20000,Petrol,Individual,Automatic,First Owner,21.9,624,37.48,4
2017,40000,Diesel,Individual,Manual,First Owner,28.4,1248,74.02,5
2015,100581,Diesel,Dealer,Manual,First Owner,25.83,1498,99.0,5
2017,40000,Diesel,Individual,Manual,Second Owner,22.0,1582,126.2,5
2015,140000,Diesel,Individual,Manual,First Owner,16.0,2179,140.0,7
2014,60000,Diesel,Individual,Manual,First Owner,24.0,1120,70.0,5
2016,80000,Diesel,Individual,Manual,Third Owner,21.19,1396,88.73,5
2019,5000,Diesel,Individual,Manual,First Owner,17.3,1497,121.0,7
2017,50000,Diesel,Individual,Automatic,First Owner,19.6,1461,108.45,5
2012,138000,Diesel,Individual,Manual,Second Owner,12.8,2494,102.0,8
2013,60000,Petrol,Individual,Manual,Second Owner,14.09,1596,99.6,5
2012,150000,Diesel,Individual,Manual,First Owner,19.3,1248,82.0,5
2013,120000,Petrol,Individual,Manual,Second Owner,18.0,1198,86.7,5
2019,25000,Petrol,Individual,Automatic,Fourth & Above Owner,20.3,1086,68.0,5
2012,90000,Diesel,Individual,Manual,First Owner,22.3,1248,74.0,5
2013,37000,Petrol,Dealer,Manual,First Owner,13.7,1399,98.79,7
2016,11000,Petrol,Dealer,Automatic,First Owner,14.3,1598,103.5,5
2012,100000,Diesel,Individual,Manual,Third Owner,19.3,1248,73.9,5
2014,45000,Diesel,Individual,Manual,First Owner,19.09,1405,69.01,5
2011,60000,Petrol,Individual,Manual,Second Owner,20.36,1197,78.9,5
2014,76000,Diesel,Individual,Manual,Third Owner,24.0,1120,70.0,5
2017,110000,CNG,Individual,Manual,First Owner,26.6,998,58.16,5
2012,135000,Diesel,Individual,Manual,First Owner,15.96,2523,62.1,7
2011,160000,Diesel,Individual,Manual,Third Owner,20.86,1199,75.0,5
2010,94000,Petrol,Individual,Manual,Second Owner,20.36,1197,78.9,5
2019,5500,Petrol,Individual,Manual,First Owner,15.37,1196,73.0,7
2019,5000,Petrol,Individual,Manual,First Owner,19.5,1199,88.76,5
2014,62000,Petrol,Individual,Manual,First Owner,21.1,814,55.2,5
2010,80000,Petrol,Individual,Manual,Fourth & Above Owner,17.0,1197,80.0,5
2019,30000,Diesel,Individual,Manual,First Owner,28.4,1248,74.02,5
2014,90000,Diesel,Individual,Manual,First Owner,20.77,1248,88.8,7
2012,88000,Petrol,Individual,Manual,First Owner,17.5,1298,85.8,5
2018,20000,Petrol,Individual,Manual,First Owner,23.01,999,67.0,5
2012,40000,Petrol,Individual,Manual,First Owner,18.5,1197,85.8,5
2012,190000,Diesel,Individual,Manual,Third Owner,19.3,1248,82.0,5
2012,120000,Petrol,Individual,Manual,First Owner,18.5,1197,82.85,5
2011,120000,Diesel,Individual,Manual,First Owner,19.4,1405,70.0,5
2017,25538,Petrol,Trustmark Dealer,Manual,First Owner,16.78,1496,88.73,5
2019,7500,Diesel,Dealer,Automatic,First Owner,16.78,1995,190.0,5
2017,25000,Petrol,Individual,Manual,First Owner,22.7,799,53.64,5
2013,70000,Petrol,Individual,Manual,First Owner,18.5,1197,82.85,5
2015,90000,Diesel,Individual,Manual,First Owner,21.19,1396,88.73,5
2018,60000,Diesel,Individual,Manual,First Owner,22.1,1396,88.7,5
2008,90000,Petrol,Individual,Manual,First Owner,19.3,1248,82.0,5
2014,48000,Diesel,Individual,Manual,First Owner,21.7,1498,98.96,5
2015,40000,Petrol,Individual,Manual,Second Owner,16.02,1373,93.7,7
2018,20000,Petrol,Individual,Manual,First Owner,21.4,1197,83.1,5
2014,23000,Petrol,Individual,Manual,Second Owner,20.36,1197,78.9,5
2002,184000,Petrol,Individual,Manual,Second Owner,19.3,1248,82.0,5
2014,110000,Diesel,Individual,Manual,First Owner,22.54,1396,88.73,5
2019,9400,Petrol,Dealer,Manual,First Owner,18.6,1197,81.83,5
2006,120000,Diesel,Individual,Manual,Second Owner,14.0,2523,83.0,7
2018,2000,Diesel,Dealer,Automatic,First Owner,16.8,1984,150.0,5
2013,60000,Petrol,Individual,Manual,Second Owner,22.74,796,47.3,5
2016,56494,Petrol,Trustmark Dealer,Manual,First Owner,18.2,1199,88.7,5
2016,120000,Diesel,Individual,Manual,Second Owner,24.4,1120,71.0,5
2015,110000,Diesel,Individual,Manual,First Owner,14.1,2179,147.94,7
2015,50000,Diesel,Individual,Manual,First Owner,15.96,2523,62.1,7
2015,48000,Petrol,Dealer,Manual,First Owner,24.7,796,47.3,5
2017,18300,Petrol,Individual,Manual,First Owner,17.8,1497,117.3,5
2017,120000,Petrol,Individual,Automatic,First Owner,21.21,1197,81.8,5
2016,110000,Diesel,Individual,Manual,First Owner,19.67,1582,126.2,5
2017,25000,Petrol,Individual,Manual,First Owner,18.6,1197,81.83,5
2014,105000,Diesel,Dealer,Manual,First Owner,21.7,1498,98.96,5
2012,98000,Diesel,Individual,Manual,First Owner,25.44,936,57.6,5
2018,35000,Diesel,Individual,Manual,First Owner,22.71,1461,84.8,5
2018,60000,Diesel,Individual,Automatic,First Owner,15.04,2755,174.5,7
2007,70000,Petrol,Individual,Manual,First Owner,19.7,796,46.3,5
2016,80000,Diesel,Individual,Manual,First Owner,24.3,1248,88.5,5
2012,163720,Diesel,Dealer,Manual,First Owner,18.5,1399,68.0,5
2017,40000,Petrol,Individual,Manual,Second Owner,20.3,1199,84.0,5
2017,62960,Diesel,Dealer,Manual,First Owner,25.83,1498,99.0,5
2019,4337,Petrol,Dealer,Automatic,First Owner,18.9,1197,82.0,5
2015,53000,Diesel,Individual,Manual,First Owner,24.0,1120,70.0,5
2015,80000,Diesel,Individual,Manual,Second Owner,15.4,2179,120.0,7
2015,120000,Diesel,Individual,Manual,First Owner,13.0,2494,142.0,7
2014,65000,Diesel,Dealer,Manual,First Owner,19.09,1405,69.01,5
2013,60000,Petrol,Individual,Manual,First Owner,21.1,814,55.2,5
2013,100000,Diesel,Individual,Manual,First Owner,22.3,1248,88.8,5
2018,75000,Diesel,Individual,Automatic,First Owner,21.5,1498,108.5,5
2016,68089,Petrol,Trustmark Dealer,Automatic,First Owner,19.16,2494,157.7,5
2004,113000,Petrol,Individual,Manual,Second Owner,19.7,796,46.3,5
2014,50000,Petrol,Individual,Manual,First Owner,20.4,1197,81.8,5
2017,60000,Diesel,Individual,Manual,First Owner,28.4,1248,74.02,5
2014,80000,Petrol,Individual,Manual,Third Owner,16.02,1373,93.7,7
2009,125876,Petrol,Individual,Manual,Second Owner,15.0,1586,104.68,5
2019,5000,Petrol,Individual,Automatic,First Owner,21.4,1197,83.1,5
2015,110000,Diesel,Individual,Manual,Second Owner,19.1,1405,70.0,5
2013,120000,Diesel,Individual,Manual,First Owner,23.59,1364,67.06,5
2017,110000,Diesel,Individual,Manual,Second Owner,28.4,1248,74.02,5
2017,140000,Diesel,Individual,Manual,First Owner,14.07,2956,69.01,7
2005,90000,Petrol,Individual,Manual,Second Owner,17.3,993,60.0,5
2007,70000,Petrol,Individual,Manual,Third Owner,15.9,1298,85.0,5
1995,70000,Petrol,Individual,Manual,First Owner,16.1,796,37.0,4
2017,60000,Diesel,Individual,Automatic,Second Owner,17.01,1582,126.2,5
2006,120000,Diesel,Individual,Manual,First Owner,19.3,1248,82.0,5
2013,100000,Diesel,Individual,Manual,Second Owner,23.4,1248,74.0,5
2017,100000,Diesel,Individual,Manual,Second Owner,16.5,1493,70.0,7
2017,31000,Diesel,Individual,Manual,First Owner,25.4,1186,73.97,5
2017,26000,Petrol,Individual,Automatic,First Owner,18.0,1497,117.3,5
2013,80000,Petrol,Individual,Manual,Second Owner,15.1,1196,73.0,5
2011,90000,Petrol,Individual,Manual,Third Owner,17.0,1197,80.0,5
2018,20000,Petrol,Individual,Manual,First Owner,18.6,1197,81.83,5
2018,10000,Petrol,Individual,Manual,First Owner,22.7,799,53.64,5
2012,80000,Petrol,Individual,Manual,First Owner,22.74,796,47.3,5
2008,100000,Diesel,Individual,Manual,Second Owner,11.5,1991,147.9,7
2010,148000,Diesel,Individual,Manual,Second Owner,19.09,1396,69.0,5
2009,90000,Petrol,Individual,Manual,Second Owner,0.0,1086,62.0,5
2016,50000,Petrol,Individual,Manual,First Owner,20.4,1197,81.8,5
2013,90000,Diesel,Individual,Manual,Second Owner,19.4,1405,70.0,5
2012,215000,Diesel,Individual,Manual,First Owner,12.05,2179,120.0,7
2017,25000,Petrol,Individual,Manual,First Owner,21.63,998,67.0,5
2012,87000,Diesel,Individual,Manual,First Owner,20.77,1248,88.76,7
2012,120000,Diesel,Individual,Manual,Second Owner,21.03,1461,65.0,5
2017,70000,Diesel,Individual,Manual,First Owner,24.52,1248,88.5,7
2011,90000,Diesel,Individual,Manual,Fourth & Above Owner,19.3,1248,73.9,5
2017,60000,Diesel,Individual,Manual,Second Owner,16.5,1493,70.0,7
2011,175000,Petrol,Individual,Manual,Second Owner,19.7,796,46.3,5
2012,40000,Diesel,Individual,Manual,First Owner,22.3,1248,74.0,5
2019,5621,Petrol,Trustmark Dealer,Automatic,First Owner,22.0,1197,81.8,5
2019,40000,Petrol,Individual,Manual,First Owner,21.21,1197,81.8,5
2012,30000,Petrol,Individual,Manual,First Owner,17.5,1298,85.8,5
2011,160000,Diesel,Individual,Manual,Second Owner,19.3,1248,82.0,5
2018,39000,Diesel,Dealer,Manual,First Owner,28.4,1248,74.0,5
2017,80000,Petrol,Individual,Manual,Second Owner,20.63,1198,67.0,5
2019,20000,Diesel,Individual,Automatic,First Owner,18.0,1969,190.0,5
2005,53563,Petrol,Dealer,Manual,Second Owner,19.3,1248,82.0,5
2013,50000,Petrol,Individual,Manual,First Owner,22.74,796,47.3,5
2018,70000,Petrol,Individual,Manual,First Owner,17.0,1198,108.5,5
2019,6000,Petrol,Individual,Manual,First Owner,19.0,1194,94.68,5
2004,60000,Petrol,Individual,Manual,Second Owner,19.7,796,46.3,5
2014,120000,Diesel,Individual,Manual,First Owner,15.1,2179,140.0,7
2011,181000,Diesel,Individual,Manual,Second Owner,11.5,2982,171.0,7
2009,100000,Diesel,Individual,Manual,Second Owner,17.8,1248,75.0,5
2014,50000,Petrol,Individual,Manual,Third Owner,21.1,814,55.2,5
2017,63982,Diesel,Dealer,Manual,First Owner,22.7,1498,89.84,5
2011,120000,Diesel,Individual,Manual,Second Owner,19.3,1248,73.9,5
2012,48000,CNG,Individual,Manual,First Owner,13.2,1495,93.7,5
2016,39000,Diesel,Dealer,Manual,First Owner,19.67,1582,126.2,5
2011,90000,Diesel,Individual,Manual,Second Owner,19.3,1248,73.9,5
2003,90000,Petrol,Individual,Manual,Second Owner,13.2,1495,94.0,5
2007,147500,Diesel,Individual,Manual,Second Owner,12.8,2494,102.0,7
2008,60000,Diesel,Individual,Manual,Second Owner,12.8,1995,52.0,5
2016,90000,Diesel,Individual,Manual,First Owner,19.09,1405,69.01,5
2017,80000,Petrol,Individual,Manual,First Owner,18.16,1196,86.8,5
2004,150000,Diesel,Individual,Manual,Second Owner,13.6,2523,63.0,7
2017,25000,Diesel,Individual,Manual,First Owner,26.59,1248,74.0,5
2004,93415,Diesel,Dealer,Manual,First Owner,13.1,2499,141.0,7
2019,15000,Diesel,Individual,Manual,Second Owner,28.4,1248,74.0,5
2010,106000,Petrol,Individual,Manual,Third Owner,20.36,1197,78.9,5
2013,70000,Diesel,Individual,Manual,Second Owner,22.07,1199,73.9,5
2015,90000,Petrol,Individual,Manual,First Owner,18.6,1197,81.83,5
2016,71000,Diesel,Individual,Manual,First Owner,18.49,1493,100.0,7
2006,100000,Petrol,Individual,Manual,Second Owner,17.7,1497,78.0,5
2017,31000,Petrol,Individual,Manual,Second Owner,21.1,814,55.2,5
2017,30000,Petrol,Individual,Manual,First Owner,18.6,1197,81.83,5
2006,93000,Petrol,Individual,Manual,Second Owner,16.1,1197,85.0,5
2017,60000,Diesel,Individual,Manual,First Owner,14.1,2179,147.94,7
2017,90000,Diesel,Individual,Manual,First Owner,24.3,1248,88.5,5
2017,9000,Diesel,Dealer,Automatic,First Owner,13.6,1999,177.0,5
2015,75000,Diesel,Individual,Manual,First Owner,14.07,2956,69.01,7
2010,120000,Petrol,Individual,Manual,Third Owner,15.6,1196,70.0,5
2012,50000,Diesel,Individual,Manual,First Owner,15.96,2523,62.1,7
2013,300000,Diesel,Individual,Manual,First Owner,14.0,2498,112.0,8
2017,20000,Petrol,Individual,Manual,Second Owner,21.1,814,55.2,5
2010,70000,Petrol,Individual,Manual,Second Owner,19.81,1086,68.05,5
2010,86017,Diesel,Dealer,Manual,Second Owner,25.5,1498,99.23,5
2008,70000,Petrol,Individual,Manual,Second Owner,19.7,796,46.3,5
2017,28000,Petrol,Individual,Manual,Second Owner,23.84,1199,84.0,5
2010,120000,Diesel,Individual,Manual,First Owner,21.1,1248,73.9,5
2018,15000,Petrol,Dealer,Manual,First Owner,22.0,1197,81.8,5
2015,150546,Petrol,Dealer,Manual,First Owner,22.0,1197,81.8,5
2019,20000,CNG,Individual,Manual,First Owner,32.26,998,58.3,4
2016,82000,Petrol,Individual,Manual,Third Owner,18.5,1197,85.8,5
2005,120000,Diesel,Individual,Manual,First Owner,12.8,2494,102.0,8
2019,40000,Diesel,Individual,Manual,First Owner,25.6,1498,97.9,5
2014,50000,Diesel,Individual,Manual,First Owner,13.58,2499,72.4,9
2019,5621,Petrol,Trustmark Dealer,Automatic,First Owner,22.0,1197,81.8,5
2019,8500,Diesel,Dealer,Automatic,First Owner,16.78,1995,190.0,5
2013,32000,Petrol,Individual,Manual,First Owner,16.8,1497,116.3,5
2012,111000,Petrol,Individual,Manual,First Owner,19.7,796,46.3,5
2014,132000,Diesel,Dealer,Manual,Second Owner,22.7,1498,89.84,5
2013,46000,Petrol,Individual,Manual,First Owner,18.2,1199,84.8,5
2014,50000,Petrol,Individual,Manual,First Owner,18.6,1197,85.8,5
2011,375000,Diesel,Individual,Manual,First Owner,12.8,2494,102.0,8
2012,80000,Diesel,Individual,Manual,Second Owner,19.3,1248,82.0,5
2017,56290,Diesel,Dealer,Manual,First Owner,24.0,1186,73.97,5
2017,25000,Petrol,Individual,Manual,Second Owner,24.7,796,47.3,5
2017,45000,Diesel,Dealer,Automatic,First Owner,19.33,1999,177.0,5
2018,12000,Diesel,Dealer,Manual,First Owner,16.55,2498,105.0,6
2016,100000,Diesel,Individual,Manual,First Owner,27.28,1047,69.0,5
2012,35000,Diesel,Individual,Manual,Second Owner,23.03,1396,69.0,5
2006,264000,Diesel,Individual,Manual,First Owner,12.8,2494,102.0,8
2012,80000,Diesel,Individual,Manual,Second Owner,22.32,1582,126.32,5
2018,13000,Petrol,Individual,Manual,First Owner,20.4,1194,94.93,5
2018,44000,Petrol,Individual,Manual,First Owner,15.37,1196,73.0,7
2013,70000,Petrol,Individual,Manual,Second Owner,18.6,1199,79.4,5
2010,55000,Petrol,Individual,Manual,Second Owner,19.81,1086,68.05,5
2018,75000,Diesel,Individual,Automatic,First Owner,21.5,1498,108.5,5
2014,60000,Petrol,Individual,Manual,Second Owner,20.92,998,67.1,5
2016,70000,Diesel,Individual,Manual,First Owner,25.2,1248,74.0,5
2014,46000,Petrol,Individual,Manual,Second Owner,19.1,1197,81.86,5
2014,90000,Diesel,Individual,Manual,Second Owner,26.21,1248,88.5,5
2011,43500,Petrol,Individual,Manual,Second Owner,18.06,1198,75.0,5
2015,90000,Diesel,Individual,Manual,First Owner,22.77,1498,98.59,5
2011,46000,Petrol,Individual,Manual,First Owner,20.92,998,67.1,5
2014,25000,Petrol,Individual,Manual,First Owner,22.74,796,47.3,5
2017,50000,Diesel,Individual,Manual,First Owner,24.52,1248,88.5,7
2018,30000,Diesel,Individual,Manual,First Owner,24.0,1186,73.97,5
2012,120000,Diesel,Individual,Manual,Second Owner,13.5,2179,115.0,5
2014,90000,Diesel,Individual,Manual,First Owner,22.9,1248,74.0,5
2016,52000,Diesel,Individual,Manual,First Owner,23.65,1248,88.5,5
2017,56290,Diesel,Dealer,Manual,First Owner,24.0,1186,73.97,5
2008,120000,Diesel,Individual,Manual,Fourth & Above Owner,17.88,1396,52.8,5
2011,93500,Petrol,Dealer,Manual,Third Owner,17.0,1497,118.0,5
2016,68089,Petrol,Trustmark Dealer,Automatic,First Owner,19.16,2494,157.7,5
2017,33000,Petrol,Dealer,Automatic,Second Owner,14.7,1798,177.5,5
2009,60000,Diesel,Individual,Manual,Second Owner,17.88,1396,52.8,5
2018,30000,Petrol,Individual,Manual,First Owner,25.17,799,53.3,5
2013,70000,Diesel,Individual,Manual,First Owner,25.8,1498,98.6,5
2017,25000,Petrol,Individual,Manual,First Owner,17.0,1497,121.31,5
2018,17601,Diesel,Dealer,Automatic,First Owner,16.25,1968,148.0,7
2019,14000,Petrol,Individual,Automatic,First Owner,23.95,998,67.05,5
2015,50000,Petrol,Individual,Manual,First Owner,22.74,796,47.3,5
2009,110000,Petrol,Individual,Manual,Second Owner,20.36,1197,78.9,5
2013,60000,Diesel,Individual,Manual,First Owner,20.77,1248,88.8,7
2013,79328,Diesel,Trustmark Dealer,Manual,Second Owner,12.99,2494,100.6,7
2009,217000,Diesel,Individual,Manual,Fourth & Above Owner,12.8,2494,102.0,8
2014,106000,Diesel,Individual,Manual,First Owner,22.32,1582,126.32,5
2017,70000,Diesel,Individual,Manual,First Owner,28.4,1248,74.02,5
2015,110000,Diesel,Individual,Manual,First Owner,14.1,2179,147.94,7
2010,190000,Diesel,Individual,Manual,Third Owner,16.2,1493,110.0,5
2014,50000,Diesel,Individual,Manual,Second Owner,14.0,2523,75.0,9
2009,90000,Diesel,Individual,Manual,Second Owner,13.93,2179,138.1,7
2014,86000,Diesel,Individual,Manual,Second Owner,14.0,2179,138.1,7
2016,30000,Petrol,Individual,Manual,First Owner,25.17,799,53.3,5
2019,9200,Petrol,Individual,Automatic,First Owner,23.84,1199,83.83,5
2015,92651,Diesel,Dealer,Manual,First Owner,21.7,1498,98.96,5
2017,30000,Diesel,Individual,Manual,First Owner,25.83,1498,99.0,5
2011,80000,Diesel,Individual,Manual,First Owner,22.32,1582,126.32,5
2019,10000,Petrol,Individual,Manual,First Owner,18.6,1197,81.86,5
2006,59000,Petrol,Individual,Manual,Second Owner,16.1,796,37.0,4
2009,125000,Petrol,Individual,Manual,Second Owner,13.5,1799,130.0,5
2011,100000,Diesel,Individual,Manual,Second Owner,13.6,2523,63.0,7
2018,50000,Petrol,Individual,Manual,First Owner,23.84,1199,84.0,5
2017,15000,Petrol,Individual,Manual,Second Owner,21.1,814,55.2,5
2017,45000,Diesel,Dealer,Automatic,First Owner,19.33,1999,177.0,5
2017,45000,Diesel,Dealer,Automatic,First Owner,19.33,1999,177.0,5
2011,43000,Petrol,Dealer,Automatic,First Owner,13.4,1997,135.1,5
2016,70000,Diesel,Individual,Manual,Second Owner,24.52,1248,88.5,7
2016,30000,Petrol,Individual,Manual,Third Owner,23.01,999,67.0,5
2018,27620,Diesel,Dealer,Manual,First Owner,22.77,1498,98.59,5
2017,31596,Petrol,Dealer,Manual,First Owner,17.0,1497,121.36,5
2017,20000,Petrol,Individual,Automatic,First Owner,18.0,1497,117.6,5
2012,60000,Diesel,Individual,Manual,Second Owner,15.1,2179,140.0,7
2015,52000,Diesel,Individual,Manual,First Owner,19.09,1405,69.01,5
2015,80000,Diesel,Individual,Manual,First Owner,22.54,1396,88.73,5
2013,189000,Diesel,Individual,Manual,First Owner,21.02,1248,88.76,5
2012,110000,Diesel,Individual,Manual,Second Owner,19.01,1461,108.45,5
2018,8576,Petrol,Dealer,Manual,First Owner,18.7,1199,88.7,5
2016,56494,Petrol,Trustmark Dealer,Manual,First Owner,18.2,1199,88.7,5
2008,93331,Petrol,Individual,Manual,Second Owner,19.81,1086,68.05,5
2008,30000,Petrol,Individual,Manual,Second Owner,19.81,1086,68.05,5
2017,60000,Diesel,Individual,Manual,First Owner,16.5,1493,70.0,7
2010,44500,Petrol,Dealer,Manual,First Owner,16.47,1198,74.0,5
2011,291000,Diesel,Individual,Manual,Second Owner,12.8,2494,102.0,7
2016,56494,Petrol,Trustmark Dealer,Manual,First Owner,18.2,1199,88.7,5
2019,5621,Petrol,Trustmark Dealer,Automatic,First Owner,22.0,1197,81.8,5
2014,60000,Petrol,Individual,Manual,Second Owner,18.9,1197,82.0,5
2017,100000,Diesel,Individual,Manual,First Owner,23.65,1248,88.5,5
2013,120000,Diesel,Individual,Manual,First Owner,19.09,1396,69.0,5
2016,30000,Diesel,Individual,Manual,First Owner,27.3,1498,98.6,5
2003,68300,Petrol,Individual,Manual,Third Owner,19.3,1248,82.0,5
2012,56000,Diesel,Individual,Manual,Second Owner,22.9,1248,74.0,5
2014,46100,Petrol,Dealer,Manual,First Owner,16.02,1373,93.7,7
2011,140000,Diesel,Individual,Manual,Second Owner,11.57,2179,138.1,7
2017,45000,Diesel,Dealer,Automatic,First Owner,19.33,1999,177.0,5
2015,56975,Diesel,Individual,Manual,First Owner,16.0,2179,140.0,7
2013,56000,Diesel,Dealer,Automatic,First Owner,11.2,2993,241.0,4
2015,75000,Diesel,Dealer,Manual,First Owner,19.87,1461,83.8,5
2009,80000,Petrol,Individual,Manual,First Owner,16.1,796,37.0,4
2017,70000,Diesel,Individual,Manual,Second Owner,15.96,2523,62.1,7
2016,35000,Diesel,Individual,Manual,First Owner,20.45,1461,83.8,5
2019,14000,Diesel,Individual,Manual,First Owner,16.5,1493,70.0,7
2004,70000,Petrol,Individual,Manual,Second Owner,18.9,998,67.1,5
2014,90000,Diesel,Individual,Manual,First Owner,23.4,1248,74.0,5
2015,40000,Petrol,Individual,Manual,First Owner,20.51,998,67.04,5
2016,29000,Petrol,Individual,Manual,First Owner,18.6,1197,81.83,5
2014,65204,Petrol,Trustmark Dealer,Automatic,First Owner,23.1,998,67.04,5
2019,20000,Petrol,Individual,Automatic,First Owner,17.4,1497,117.6,5
2012,60000,Petrol,Individual,Manual,First Owner,19.4,1198,86.8,5
2015,20000,Petrol,Individual,Manual,Second Owner,15.8,1499,110.0,5
2013,50000,Petrol,Individual,Manual,Second Owner,21.1,814,55.2,5
2012,80000,Diesel,Individual,Manual,Fourth & Above Owner,19.09,1396,69.0,5
2018,70000,Diesel,Individual,Manual,First Owner,20.65,1248,88.7,5
2015,50000,Diesel,Individual,Manual,First Owner,26.59,1248,74.0,5
2017,70000,Diesel,Individual,Manual,Second Owner,24.4,1120,71.0,5
2017,42000,Petrol,Individual,Manual,First Owner,23.84,1199,84.0,5
2016,40000,Petrol,Dealer,Automatic,First Owner,14.8,1591,121.3,5
2016,20000,Petrol,Individual,Manual,First Owner,20.4,1197,81.8,5
2008,40000,Petrol,Individual,Manual,Fourth & Above Owner,12.85,1396,99.6,5
2016,63000,Diesel,Dealer,Manual,First Owner,15.3,2956,83.8,9
2011,120000,Diesel,Individual,Manual,Second Owner,14.0,2523,75.0,8
2016,99000,Diesel,Dealer,Automatic,First Owner,21.66,1498,103.52,5
2015,248000,Diesel,Individual,Manual,First Owner,24.8,1396,88.7,5
2017,45000,Diesel,Individual,Manual,First Owner,23.0,1498,98.96,5
2015,40000,Diesel,Individual,Manual,First Owner,24.52,1248,88.5,7
1999,60000,Petrol,Individual,Manual,Fourth & Above Owner,17.3,993,60.0,5
2019,5621,Petrol,Trustmark Dealer,Automatic,First Owner,22.0,1197,81.8,5
